"Marker","pAUC","pAUC_low","pAUC_hi","Biomarker"
"NGF",0.0142857142857143,0.00357142857142857,0.0293660714285713,"No"
"NID1",0.00416666666666667,0,0.0156755952380951,"No"
"NID2",0.00595238095238095,0,0.0222222222222222,"No"
"NINJ1",0.00674603174603174,0,0.0291666666666667,"No"
"NME3",0.00595238095238095,0,0.0246031746031746,"No"
"NMNAT1",0.0196428571428571,0.00178571428571429,0.0438501984126983,"No"
"NOMO1",0.00793650793650793,0,0.0279761904761905,"No"
"NOS1",0.00694444444444444,0,0.0355178571428568,"No"
"NOS3",0.0107142857142857,0.000396825396825395,0.0327390873015871,"No"
"NOTCH1",0.00674603174603175,0,0.0248015873015873,"No"
"NOTCH3",0.00257936507936507,0,0.0218263888888887,"No"
"NPDC1",0.0150793650793651,0.00416666666666667,0.0313492063492063,"No"
"NPM1",0.0126984126984127,0,0.0375,"No"
"NPPB",0.00297619047619048,0,0.0150793650793651,"No"
"NPPC",0.00634920634920635,0,0.0251984126984127,"No"
"NPTN",0.00753968253968254,0,0.0251984126984127,"No"
"NPTX1",0.00634920634920635,0,0.0287698412698413,"No"
"NPTXR",0.000992063492063492,0,0.00972222222222222,"No"
"NPY",0.0115079365079365,0.000595238095238093,0.0277777777777778,"No"
"NRCAM",0.00476190476190476,0,0.0210327380952379,"No"
"NRP1",0.00158730158730159,0,0.0123025793650792,"No"
"NRP2",0.0123015873015873,0.000792658730158737,0.0327380952380952,"No"
"NRTN",0.000793650793650793,0,0.0176597222222221,"No"
"NSFL1C",0.0113095238095238,0.000595238095238093,0.0339285714285714,"No"
"NT5C3A",0.00912698412698412,0.000595238095238095,0.0238105158730157,"No"
"NT5E",0.00416666666666666,0,0.0204374999999998,"No"
"NTF3",0.00674603174603175,0,0.0200406746031744,"No"
